full_name,neo,pha,H,diameter,rot_per,e,a,q,i,ad,moid,moid_jup,producer,data_arc,first_obs,last_obs
"   107 Camilla",N,N,7.1,254,4.844,.06537689627301911,3.491538547280843,3.263272593842015,9.999894828042917,3.71980450071967,2.29158,1.35217,"Otto Matic",55153,1868-12-05,2019-12-07
"   157 Dejanira",N,N,11.1,19.959,15.825,.1967756224363141,2.580689558958024,2.072872764679162,12.16235349871886,3.088506353236887,1.10915,2.15806,"Otto Matic",42018,1904-11-13,2019-11-28
"   281 Lucretia",N,N,12.0,11.036,4.348,.1326752701693698,2.187358802943897,1.897150382805966,5.303962169247142,2.477567223081828,.906903,2.87671,"Otto Matic",47140,1890-04-16,2019-05-10
"   336 Lacadiera (1892 D)",N,N,9.8,67.513,13.70,.09549100265116645,2.251446035709403,2.036453196344518,5.653639987418186,2.466438875074287,1.0228,2.58439,"Otto Matic",46254,1892-09-20,2019-05-12
"   340 Eduarda (1892 H)",N,N,9.90,28.025,8.0062,.115893692099805,2.746377321906858,2.428089514171897,4.667974622826059,3.064665129641818,1.44447,2.20793,"Otto Matic",46457,1892-09-25,2019-12-06
"   481 Emita (1902 HP)",N,N,8.9,121.552,14.412,.157416403409003,2.740513599615526,2.309111805270589,9.844594918052552,3.171915393960462,1.32166,2.17681,"Otto Matic",43032,1902-02-12,2019-12-07
"  1050 Meta (1925 RC)",N,N,12.2,8.773,6.142,.177505572347774,2.624874659574174,2.158944780785292,12.49718412906675,3.090804538363056,1.20077,2.45554,"Otto Matic",40609,1908-10-01,2019-12-07
"  1219 Britta (1932 CJ)",N,N,11.7,9.860,5.575,.1244453016021832,2.212896839524221,1.937512224915112,4.411108092973755,2.488281454133331,.951706,2.77293,"Otto Matic",42081,1904-09-20,2019-12-07
"  1248 Jugurtha (1932 RO)",N,N,9.9,28.468,12.910,.01655920146432871,2.721977876056313,2.67690409602525,9.138657946822851,2.767051656087375,1.69157,2.30598,"Otto Matic",43121,1901-11-12,2019-12-04
"  1281 Jeanne (1933 QJ)",N,N,11.5,25.716,15.18,.2083516372019684,2.556133566180868,2.023558952760178,7.445757974261995,3.088708179601558,1.02192,2.09793,"Otto Matic",42156,1904-07-07,2019-12-07
"  1293 Sonja (1933 SO)",N,N,13.5,7.80,2.878,.2752762665089319,2.227816507999703,1.614551497210579,5.363812063731189,2.841081518788827,.61558,2.57945,"Otto Matic",31440,1933-09-26,2019-10-25
"  1374 Isora (1935 UA)",N,N,13.3,,36.699,.2777144547038333,2.251519243971531,1.626239804876791,5.294295450473967,2.876798683066272,.630956,2.60692,"Otto Matic",30725,1935-10-21,2019-12-04
"  1485 Isa (1938 OB)",N,N,11.8,17.336,,.1154715054713998,3.026586424609376,2.67710193372043,8.92319069207907,3.376070915498322,1.67731,2.01284,"Otto Matic",31488,1933-09-21,2019-12-07
"  1596 Itzigsohn (1951 EV)",N,N,10.7,45.534,39.722,.1303973620759968,2.889564974794152,2.5127733245338,13.28254041351917,3.266356625054504,1.52757,2.095,"Otto Matic",31075,1934-11-07,2019-12-06
"  1648 Shajna (1935 RF)",N,N,12.1,9.450,6.4156,.2063718686157966,2.235611963381886,1.774244544998937,4.572261015918074,2.696979381764836,.761623,2.39472,"Otto Matic",36043,1921-04-01,2019-12-06
"  1663 van den Bos (1926 PE)",N,N,11.9,13.537,740.,.1803531763041095,2.239270319856605,1.835410805066947,5.361998686868205,2.643129834646263,.840339,2.81115,"Otto Matic",33412,1928-02-24,2019-08-17
"  1813 Imhotep (7589 P-L)",N,N,12.0,19.099,17.994,.07909485338897196,2.683974528041285,2.471685956246124,8.086862739509437,2.896263099836446,1.46916,2.06202,"Otto Matic",21600,1960-10-17,2019-12-07
"  1819 Laputa (1948 PC)",N,N,10.4,54.165,9.8004,.2283076547828648,3.134271239933993,2.418693123691281,23.90783749612248,3.849849356176704,1.40689,1.42768,"Otto Matic",32968,1929-02-03,2019-05-10
"  1848 Delvaux (1933 QD)",N,N,11.0,17.030,3.637,.04599898848592095,2.869985718148755,2.737969278144873,1.440930539045924,3.002002158152637,1.72121,2.07181,"Otto Matic",31407,1933-08-18,2019-08-14
"  1944 Gunter (1925 RA)",N,N,13.8,4.905,,.2364357247120462,2.239989294729061,1.71037580248257,5.48809974857642,2.769602786975551,.708019,2.6453,"Otto Matic",34415,1925-09-14,2019-12-05
"  2059 Baboquivari (1963 UA)",Y,N,16.0,,,.530836777718558,2.644280495734853,1.240599157994932,11.01359525539756,4.047961833474773,.248257,1.39824,"Otto Matic",20550,1963-10-16,2020-01-20
"  2072 Kosmodemyanskaya (1973 QE2)",N,N,12.7,4.843,4.4,.1642716503421735,2.449356279151156,2.04699648089903,4.736387993217964,2.851716077403282,1.06248,2.46532,"Otto Matic",23276,1956-03-16,2019-12-07
"  2150 Nyctimene (1977 TA)",N,N,13.2,6.059,6.131,.05718701810463477,1.913273618428823,1.803859205372614,25.31858148277352,2.022688031485032,.844919,3.10578,"Otto Matic",18324,1969-10-06,2019-12-07
"  2209 Tianjin (1978 US1)",N,N,11.1,16.786,9.47,.06702781068102673,2.845292442908719,2.654578719713278,2.612913487431648,3.036006166104161,1.66638,2.20784,"Otto Matic",28283,1942-03-11,2019-08-17
"  2221 Chilton (1976 QC)",N,N,13.0,,7.445,.1372730378694709,2.592126352535197,2.236297293581179,13.79207216020292,2.947955411489214,1.27354,2.41301,"Otto Matic",15809,1976-08-25,2019-12-07
"  2446 Lunacharsky (1971 TS2)",N,N,13.0,12.954,3.613,.1612916641531236,2.354927564066101,1.975097378297818,3.310940493365684,2.734757749834384,.961447,2.37547,"Otto Matic",24143,1953-10-31,2019-12-07
"  2532 Sutton (1980 TU5)",N,N,13.0,6.979,51.362,.1720430626375336,2.372050549223967,1.963955708004432,4.33900752456494,2.780145390443502,.957907,2.64812,"Otto Matic",24132,1953-04-15,2019-05-11
"  2787 Tovarishch (1978 RC6)",N,N,11.4,19.707,,.05784611531642676,3.02091283976337,2.846164767273544,10.30810003195129,3.195660912253196,1.88097,1.94955,"Otto Matic",22656,1957-10-20,2019-10-31
"  2870 Haupt (1981 LD)",N,N,12.9,14.930,274.,.2098992993149376,2.392208025788206,1.890085237359691,4.16047392373268,2.89433081421672,.893179,2.56952,"Otto Matic",22001,1959-09-03,2019-11-28
"  2947 Kippenhahn (1955 QP1)",N,N,12.7,7.588,10.430,.12520750229202,2.307768929930365,2.018818946346657,3.136328223788886,2.596718913514074,1.03558,2.56799,"Otto Matic",28006,1943-04-04,2019-12-07
"  3135 Lauer (1981 EC9)",N,N,13.8,,,.1393765287610051,2.420304107983943,2.08297052286714,5.980839308912106,2.757637693100746,1.10398,2.53464,"Otto Matic",14915,1978-07-09,2019-05-10
"  3331 Kvistaberg (1979 QS)",N,N,13.4,,,.08729901363072412,2.419457622300286,2.208241358352134,3.566315550480688,2.630673886248438,1.22726,2.43839,"Otto Matic",17017,1972-10-06,2019-05-10
"  3471 Amelin (1977 QK2)",N,N,11.5,27.406,,.05186004038790312,3.192465567501273,3.026904174233667,15.38703370618132,3.358026960768879,2.04382,1.65975,"Otto Matic",22512,1958-04-19,2019-12-07
"  3543 Ningbo (1964 VA3)",N,N,11.9,21.677,,.1719610876898911,3.181127436003534,2.634097302028211,1.046123385660771,3.728157569978856,1.61759,1.38522,"Otto Matic",24447,1952-11-16,2019-10-23
"  3589 Loyola (1984 AB1)",N,N,13.7,4.282,,.1634238504926692,2.24607666091932,1.879014164490167,4.465786947705842,2.613139157348472,.89182,2.79697,"Otto Matic",18098,1969-10-17,2019-05-06
"  3681 Boyan (1974 QO2)",N,N,13.4,4.656,,.1840754840172392,2.229753321931312,1.819310399957759,4.064832966960005,2.640196243904865,.80359,2.5968,"Otto Matic",26474,1947-06-14,2019-12-07
"  4017 Disneya (1980 DL5)",N,N,13.0,,,.09805652227806792,2.58596607514167,2.332395235084213,3.018310707768625,2.839536915199127,1.32546,2.51269,"Otto Matic",25571,1949-11-25,2019-11-29
"  4076 Dorffel (1982 UF4)",N,N,12.2,8.968,,.07031451557378027,2.851980984761887,2.651445323392722,1.354060613202497,3.052516646131052,1.66111,2.21267,"Otto Matic",21657,1960-01-22,2019-05-09
"  4131 Stasik (1988 DR4)",N,N,11.8,29.130,,.1040613890046413,3.164067164420236,2.834809940386689,12.42313405665136,3.493324388453782,1.87229,1.999,"Otto Matic",16073,1975-12-04,2019-12-06
"  4221 Picasso (1988 EJ)",N,N,12.6,10.823,3.1114,.1271871945445644,2.618583739831085,2.285533420281956,17.19031154851844,2.951634059380215,1.30122,2.05322,"Otto Matic",23982,1954-04-02,2019-11-29
"  4265 Kani (1989 TX)",N,N,13.1,14.244,5.7279,.1991460708934877,2.428782728407858,1.945100190991468,4.357511186936965,2.912465265824248,.948288,2.5525,"Otto Matic",28860,1940-11-29,2019-12-05
"  4318 Bata (1980 DE1)",N,N,11.8,25.790,10.571,.1039220133963975,3.223053156253244,2.888106982971793,9.541021979795239,3.557999329534694,1.92331,1.55655,"Otto Matic",22865,1957-04-28,2019-12-04
"  4357 Korinthos (2069 T-2)",N,N,11.8,18.360,6.619,.06880216923439779,3.004534338550425,2.797815858518919,10.506856293149,3.211252818581931,1.7975,1.80102,"Otto Matic",18672,1968-10-23,2019-12-07
"  4631 Yabu (1987 WE1)",N,N,13.3,5.454,7.356,.1238188212841141,2.234195968458283,1.957560457126059,7.413949560782328,2.510831479790507,.981322,2.73095,"Otto Matic",23427,1955-03-22,2019-05-12
"  4942 Munroe (1987 DU6)",N,N,13.5,3.453,,.1359550877919966,2.201517023627696,1.902209583404818,3.833791103065166,2.500824463850575,.885403,2.64442,"Otto Matic",23543,1955-06-23,2019-12-07
"  4949 Akasofu (1988 WE)",N,N,13.4,4.460,2.6798,.1682028820516336,2.272009345971518,1.889850825930862,4.813198070919833,2.654167866012175,.900194,2.80226,"Otto Matic",14958,1978-12-23,2019-12-06
"  5020 Asimov (1981 EX19)",N,N,14.6,3.457,,.2126351155147096,2.154026258177427,1.696004635948153,1.102606195820102,2.612047880406702,.684169,2.73322,"Otto Matic",24099,1953-05-18,2019-05-11
"  5388 Mottola (1981 ED1)",N,N,13.6,,,.1445770591084921,2.684608996960144,2.296476123323447,12.58660451502984,3.07274187059684,1.34284,2.3311,"Otto Matic",14633,1979-11-14,2019-12-07
"  5510 (1988 RF7)",N,N,13.5,4.314,3.2,.2444079367221508,2.190506831375423,1.655129576343179,5.684660023123016,2.725884086407666,.654182,2.68836,"Otto Matic",25489,1949-07-25,2019-05-08
"  5669 (1985 CC2)",N,N,13.6,6.016,,.0338964856415011,2.271433486090234,2.194439873543351,3.75030258235196,2.348427098637116,1.19432,2.61179,"Otto Matic",14043,1980-11-29,2019-05-12
"  5678 DuBridge (1989 TS)",N,N,13.9,5.945,,.27467448366204,2.728747149627521,1.979229935259318,34.09953042148292,3.478264363995724,1.12739,2.39277,"Otto Matic",23955,1953-10-10,2019-05-12
"  5803 Otzi (1984 OA)",N,N,12.6,15.614,3.634,.2154509557861388,2.642573007915615,2.073228127625544,16.60418034699722,3.211917888205686,1.0754,2.19626,"Otto Matic",23870,1954-07-31,2019-12-07
"  5909 Nagoya (1989 UT)",N,N,13.7,,3.784,.1937759070937463,2.242846202106423,1.808236644821487,7.138873308648086,2.677455759391359,.814553,2.75106,"Otto Matic",28156,1942-11-05,2019-12-07
"  5918 (1991 NV3)",N,N,12.9,7.644,,.08493845018989794,2.844037501471639,2.602469363814688,3.213555089596841,3.08560563912859,1.59889,2.28643,"Otto Matic",23977,1953-09-17,2019-05-11
"  6209 Schwaben (1990 TF4)",N,N,14.0,4.712,,.1386842325434851,2.407086152476368,2.073261256754132,1.419681447932177,2.740911048198603,1.0892,2.31984,"Otto Matic",14590,1979-11-14,2019-10-25
"  6301 (1989 BR1)",N,N,12.2,18.020,,.1643397452104293,3.172559508802031,2.65118188746058,.4915280084140203,3.693937130143482,1.63569,1.37348,"Otto Matic",29887,1938-02-07,2019-12-06
"  6383 Tokushima (1988 XU1)",N,N,11.8,14.848,,.05654153783520104,2.997379519131759,2.827903071644314,11.13787668947394,3.166855966619204,1.81414,1.88114,"Otto Matic",23539,1955-06-27,2019-12-07
"  6388 (1989 WL1)",N,N,12.6,7.582,3.870,.1465950211822076,2.591581392920981,2.211668463730315,12.56793730886207,2.971494322111647,1.22203,2.40461,"Otto Matic",25377,1950-06-15,2019-12-07
"  6392 Takashimizuno (1990 HR)",N,N,11.4,25.221,21.81,.134939145480064,3.218240868439,2.783974195702823,17.61133102025148,3.652507541175178,1.82362,1.64959,"Otto Matic",12001,1986-11-06,2019-09-15
"  6482 Steiermark (1989 AF7)",N,N,13.5,,,.1271179401473561,3.169024231027281,2.766184398502034,.5641581139085026,3.571864063552528,1.778,1.43225,"Otto Matic",15027,1978-03-15,2019-05-06
"  6561 Gruppetta (1991 TC4)",N,N,13.3,6.184,3.4,.1864154958708651,2.588356909617594,2.10584707282045,13.66871378541053,3.070866746414737,1.09673,2.34131,"Otto Matic",12908,1984-01-07,2019-05-11
"  6640 Falorni (1990 DL)",N,N,14.0,3.368,,.0682925941284139,2.265429128034361,2.110717096066824,5.207823825573168,2.420141160001898,1.1148,2.54756,"Otto Matic",23752,1954-11-23,2019-12-04
"  6739 Tarendo (1993 FU38)",N,N,12.8,13.982,,.1192904074393723,3.232916920467687,2.847260943807456,2.456920843347348,3.618572897127918,1.83705,1.72359,"Otto Matic",17222,1972-10-09,2019-12-04
"  6800 Saragamine (1994 UC)",N,N,13.0,13.441,,.1609694720742904,2.663800341733476,2.235009807013324,8.508337659962018,3.092590876453629,1.2613,2.3556,"Otto Matic",17655,1970-03-10,2018-07-11
"  6880 Hayamiyu (1994 TG15)",N,N,12.3,9.360,,.06975057534773019,2.801996433554219,2.606555570191524,5.248790981863949,2.997437296916913,1.6292,2.09335,"Otto Matic",15213,1978-04-13,2019-12-07
"  7001 Noether (1955 EH)",N,N,13.2,6.122,9.5809,.1508444664104779,2.379787823011176,2.020809998678902,7.024994504434037,2.738765647343449,1.04915,2.54577,"Otto Matic",23643,1955-03-14,2019-12-06
"  7142 Spinoza (1994 PC19)",N,N,12.9,20.287,12.375,.1056103483887673,3.164103468240206,2.829941398621251,.3293297305323419,3.498265537859161,1.81956,1.48898,"Otto Matic",25697,1949-07-30,2019-12-07
"  7442 Inouehideo (1995 SC5)",N,N,13.3,11.493,,.133860449636101,3.167319348227437,2.74334055613259,.7713941532021182,3.591298140322285,1.72659,1.51823,"Otto Matic",15564,1977-04-24,2019-12-04
"  7475 Kaizuka (1992 UX5)",N,N,13.7,4.177,,.0787846639946872,2.2834844385429,2.103580884315201,5.371378515635666,2.463387992770599,1.12241,2.57474,"Otto Matic",24817,1951-12-27,2019-12-07
"  7627 Wakenokiyomaro (1977 DS4)",N,N,13.2,6.234,,.1060382129902407,2.876724777262265,2.571682022616627,3.71646057529793,3.181767531907904,1.55774,1.968,"Otto Matic",23892,1954-06-30,2019-11-28
"  7965 Katsuhiko (1996 BD1)",N,N,12.6,20.684,5.3897,.2888194272909679,2.437357183825736,1.733401077889661,25.02015012144933,3.141313289761811,.887431,2.49438,"Otto Matic",14867,1978-08-27,2019-05-11
"  8008 (1988 TQ4)",N,N,13.2,12.656,12.2,.08039555159000447,2.782598216988522,2.558889698480367,1.347264341176218,3.006306735496677,1.56211,2.37278,"Otto Matic",16412,1974-10-12,2019-09-18
"  8049 (1996 FL2)",N,N,13.0,6.581,,.03459210522641256,2.899035050550803,2.798751325027091,1.143062742129322,2.999318776074515,1.78318,2.00923,"Otto Matic",15072,1978-08-31,2019-12-06
"  8255 Masiero (1981 EZ18)",N,N,14.0,,,.04501319539980257,2.689931114223152,2.568848719366617,1.623473518294693,2.811013509079688,1.55841,2.35483,"Otto Matic",23573,1955-05-23,2019-12-06
"  8373 Stephengould (1992 AB)",N,N,14.1,,4.435,.5544444380890017,3.278925768955874,1.460943613451587,40.78408501093327,5.096907924460162,.644975,1.46817,"Otto Matic",9307,1992-01-01,2017-06-25
"  8508 (1991 CU1)",N,N,13.7,4.834,,.1318325299898187,2.286501601018976,1.985066310130874,3.873988309875635,2.587936891907079,1.00032,2.43407,"Otto Matic",23310,1955-10-25,2019-08-20
"  8799 Barnouin (1981 ER25)",N,N,14.6,3.223,,.1292306513962354,2.577514416340456,2.244420549333592,4.357917413217018,2.910608283347321,1.25786,2.44441,"Otto Matic",13982,1981-02-09,2019-05-23
"  8812 Kravtsov (1982 UY6)",N,N,13.5,10.746,,.2539209195039065,2.629716812242212,1.961976701242788,6.60357534129463,3.297456923241637,.961454,2.10874,"Otto Matic",18105,1969-10-15,2019-05-11
"  8880 (1993 FT33)",N,N,13.4,5.204,,.08178117123327713,2.798126309764728,2.569292262893521,4.482639798883397,3.026960356635935,1.55831,2.15164,"Otto Matic",15751,1976-10-22,2019-12-07
"  8886 Elaeagnus (1994 EG6)",N,N,14.9,3.358,10.184,.1981947631320988,2.245279552806021,1.800276903672287,6.177708413624186,2.690282201939755,.791878,2.66004,"Otto Matic",12525,1985-08-22,2019-12-07
"  8968 Europaeus (1212 T-2)",N,N,12.6,11.536,,.1178201657011122,3.015602110876797,2.660303370484669,9.689287135976477,3.370900851268924,1.6603,2.10609,"Otto Matic",23560,1955-03-24,2019-09-24
"  8985 Tula (1978 PV3)",N,N,14.3,3.266,,.2005871277828898,2.255287328064396,1.802905720602811,4.083737772425067,2.707668935525982,.787618,2.52144,"Otto Matic",15092,1978-08-09,2019-12-04
"  9084 Achristou (1995 CS1)",N,N,15.7,1.916,8.84,.07789700452156119,1.859699717879657,1.714834680547239,23.09556700946804,2.004564755212074,.778262,3.04585,"Otto Matic",14487,1980-04-08,2019-12-07
"  9099 Kenjitanabe (1996 VN3)",N,N,13.5,10.199,,.2290606896752883,3.183931327069417,2.45461782141214,2.122929265626869,3.913244832726693,1.46989,1.36801,"Otto Matic",12858,1984-09-23,2019-12-07
"  9159 McDonnell (1984 UD3)",N,N,13.9,,,.1143008822130184,2.346184176463264,2.078013255259288,6.398582843002994,2.614355097667239,1.08276,2.80038,"Otto Matic",23881,1954-04-08,2019-08-26
"  9197 Endo (1992 WH8)",N,N,14.8,3.174,,.1105509041161473,2.163038579251174,1.92391270867685,1.000299718184908,2.402164449825499,.912333,2.87802,"Otto Matic",23025,1956-05-08,2019-05-23
"  9274 Amylovell (1980 FF3)",N,N,14.8,5.630,5.518,.1585284926137836,2.631532272894029,2.214359428407615,6.799005609458917,3.048705117380443,1.21347,2.01302,"Otto Matic",24853,1950-04-17,2018-05-03
"  9395 Saint Michel (1994 PC39)",N,N,13.8,4.757,3.3342,.1024881564332567,2.602984765818696,2.336209655946085,2.339266958937067,2.869759875691306,1.33403,2.09917,"Otto Matic",9686,1993-04-25,2019-11-01
"  9446 Cicero (1997 JT11)",N,N,13.2,13.247,,.1363262400435616,3.158291030948636,2.727733089736105,1.499898334092212,3.588848972161167,1.71304,1.46279,"Otto Matic",12497,1985-02-21,2019-05-11
"  9585 (1990 QY2)",N,N,14.0,,,.1002039584201601,2.479001913753585,2.230596109064324,2.313923889652079,2.727407718442847,1.24093,2.58158,"Otto Matic",11421,1988-01-23,2019-05-01
"  9588 Quesnay (1990 WE2)",N,N,13.4,4.637,,.211457385425541,2.589369039315538,2.041827832360029,13.19520773024909,3.136910246271046,1.07706,2.20066,"Otto Matic",23605,1955-04-18,2019-12-03
"  9673 Kunishimakoto (1997 UC25)",N,N,14.1,3.492,,.1893716886657387,2.217551787407218,1.797610260722186,4.05223326001231,2.637493314092251,.786004,2.55451,"Otto Matic",15244,1977-08-14,2019-05-10
"  9738 (1987 DF6)",N,N,13.1,6.473,3.165,.1225371492573291,2.665997362646181,2.339313645899961,12.519006993678,2.992681079392402,1.36822,2.11103,"Otto Matic",14322,1980-09-13,2019-11-30
"  9756 Ezaki (1991 CC3)",N,N,14.0,5.750,,.1107870370259477,2.736125227959894,2.432998021022272,4.449158688393404,3.039252434897516,1.42794,1.93002,"Otto Matic",11088,1988-09-01,2019-01-10
"  9997 COBE (1217 T-1)",N,N,14.3,,,.1131391585404912,2.546279613870398,2.258195680948294,2.459327266715604,2.834363546792502,1.2732,2.42476,"Otto Matic",18094,1969-10-16,2019-05-01
" 10075 Campeche (1989 GR4)",N,N,14.1,4.185,,.1134289084425625,2.26646015671395,2.009378055109328,4.095294549761429,2.523542258318573,1.02789,2.51896,"Otto Matic",10986,1989-04-03,2019-05-02
" 10105 Holmhallar (1992 EM12)",N,N,13.5,12.028,,.1002574149646427,3.130786782897857,2.816902193239048,.8763215135263489,3.444671372556666,1.81511,1.51255,"Otto Matic",24846,1951-11-28,2019-12-07
" 10141 Gotenba (1993 VE)",N,N,12.5,9.285,,.1748894799319977,2.613355962338976,2.156307497208327,13.577282598921,3.070404427469625,1.19366,2.33894,"Otto Matic",16302,1975-04-20,2019-12-07
" 10391 (1997 RR3)",N,N,12.9,8.031,,.1296819894518811,2.57968524557269,2.245146530767159,13.7157306817447,2.914223960378221,1.30684,2.29174,"Otto Matic",18177,1970-03-02,2019-12-07
" 10419 (1998 XB4)",N,N,13.4,5.557,,.08120345991841148,2.274573075259658,2.089869871711313,5.004205895658514,2.459276278808004,1.10732,2.58909,"Otto Matic",22625,1957-12-27,2019-12-07
" 10441 van Rijckevorsel (9076 P-L)",N,N,13.2,6.596,,.1894693310355806,2.574281393016837,2.086534019584595,13.6250996650621,3.06202876644908,1.0931,2.38982,"Otto Matic",21600,1960-10-17,2019-12-07
" 10515 Old Joe (1989 UB3)",N,N,14.0,3.393,,.2566557182167262,2.572226617827197,1.912049947812577,5.411405473793097,3.232403287841817,.928703,2.03927,"Otto Matic",24248,1952-12-17,2019-05-08
" 10587 Strindberg (1996 NF3)",N,N,13.1,5.716,,.07499327458555129,2.693894737167945,2.491870749438938,10.07823695855537,2.895918724896952,1.52575,2.25838,"Otto Matic",16075,1975-12-03,2019-12-07
" 10720 Danzl (1986 GY)",N,N,14.1,,,.14266664680431,2.178763557471359,1.867926666547491,3.137139130088963,2.489600448395228,.858547,2.84776,"Otto Matic",13833,1982-01-18,2019-12-03
" 10833 (1993 VJ4)",N,N,15.0,,,.1974921167043553,2.248727549825281,1.804621586118888,2.591011428291746,2.692833513531675,.795847,2.69232,"Otto Matic",15569,1976-09-24,2019-05-11
" 10856 Bechstein (1995 EG8)",N,N,12.7,17.313,,.2391273996602607,3.171355050429613,2.412997163820945,25.89274497209088,3.929712937038282,1.47043,1.73962,"Otto Matic",24076,1954-01-05,2019-12-06
" 11038 (1989 EE1)",N,N,13.9,4.532,,.1376804300058924,2.267985170880158,1.955727997306391,6.633051747662054,2.580242344453926,.953213,2.38407,"Otto Matic",11231,1989-03-08,2019-12-07
" 11150 Bragg (1997 YG1)",N,N,14.4,3.145,,.1465520845418522,2.448750907815385,2.089881357751287,2.940719724353106,2.807620457879483,1.10813,2.28395,"Otto Matic",14881,1978-11-30,2019-08-28
" 11224 (1999 JP32)",N,N,13.3,5.425,,.06073524138844465,2.909375363865179,2.732673748851234,3.08736972703703,3.086076978879125,1.71936,2.10732,"Otto Matic",13820,1981-10-24,2019-08-26
" 11250 (1972 AU)",N,N,12.8,7.485,2.812,.1728585101706431,2.59441083619621,2.145944844280761,12.54071547090317,3.04287682811166,1.13997,2.3838,"Otto Matic",17786,1970-08-30,2019-05-11
" 11459 Andraspal (1981 ET13)",N,N,15.0,,,.218596390555073,2.282388741710079,1.783466800928721,4.19477978105721,2.781310682491437,.778525,2.23028,"Otto Matic",14415,1979-11-22,2019-05-11
" 11745 (1999 NH3)",N,N,12.8,8.217,3.280,.1794727641344759,2.702281377190241,2.21729546895679,14.22085637959911,3.187267285423693,1.20748,2.21687,"Otto Matic",15430,1977-09-08,2019-12-07
" 11862 (1988 XB2)",N,N,14.7,3.615,2.381,.1966844215630995,2.389007791661216,1.919127176048592,3.118713386272141,2.85888840727384,.917868,2.60348,"Otto Matic",11109,1988-12-01,2019-05-02
" 12111 Ulm (1998 LU)",N,N,13.9,4.220,,.06678586717923023,2.561345074023255,2.390283422109362,3.887772424900433,2.732406725937148,1.37939,2.25887,"Otto Matic",10813,1990-04-29,2019-12-06
" 12246 Pliska (1988 RJ8)",N,N,13.8,,,.1162965979762705,2.317017629094551,2.04755636137981,5.997044087056617,2.586478896809291,1.04551,2.87044,"Otto Matic",13851,1981-09-25,2019-08-28
" 12584 Zeljkoandreic (1999 RF36)",N,N,14.6,,7.071,.1368169499146181,2.371063852719156,2.046662128337318,7.357599520454816,2.695465577100995,1.04967,2.69871,"Otto Matic",15177,1977-10-18,2019-05-08
" 12705 (1990 TJ)",N,N,13.7,5.493,,.06582136920801393,2.530580217342202,2.364013962546025,4.899178559496181,2.697146472138379,1.37327,2.54367,"Otto Matic",15015,1978-10-28,2019-12-07
" 12749 Odokaigan (1993 CB)",N,N,14.4,3.257,,.1317450816744547,2.33957336218932,2.031346078504309,5.436379776932398,2.64780064587433,1.03596,2.32189,"Otto Matic",9793,1993-02-02,2019-11-26
" 12825 (1997 AJ7)",N,N,15.6,,10.79,.150578042411325,2.355279550109647,2.00062616612271,1.302280125085774,2.709932934096583,1.00444,2.2554,"Otto Matic",8665,1995-08-20,2019-05-11
" 13254 Kekule (1998 OY13)",N,N,15.0,2.807,,.1289470425443373,2.297843229288143,2.001543140640908,6.735725532026176,2.594143317935379,1.00441,2.44273,"Otto Matic",15974,1976-03-01,2019-11-25
" 13340 (1998 SM123)",N,N,14.3,8.688,,.2402125985177311,2.557361440362335,1.943051003423851,5.567931093703764,3.171671877300819,.935394,1.99275,"Otto Matic",9718,1993-04-26,2019-12-04
" 13354 (1998 TO15)",N,N,13.2,5.148,,.1384445461820127,2.684887353473841,2.31317934227233,11.73499834114546,3.056595364675352,1.35689,2.233,"Otto Matic",23739,1954-09-06,2019-09-04
" 13378 (1998 VF35)",N,N,12.3,12.986,102.546,.05901778448208981,3.01176934841761,2.834021394102936,10.12795801473361,3.189517302732285,1.86415,1.85569,"Otto Matic",12628,1985-05-11,2019-12-07
" 13380 Yamamohammed (1998 WQ11)",N,N,14.2,3.755,,.1549602302322104,2.216411089509804,1.872955516790141,3.238322196733948,2.559866662229468,.860923,2.49409,"Otto Matic",11341,1988-11-06,2019-11-25
" 13467 (2676 T-3)",N,N,14.9,,,.1150996730339922,2.326886915557531,2.059062992389785,3.991869422476631,2.594710838725277,1.04658,2.42865,"Otto Matic",15307,1977-10-07,2019-09-04
" 13561 Kudogou (1992 SB1)",N,N,12.4,21.260,,.1597371449517575,3.179069012789848,2.671253605082196,17.00909214607567,3.6868844204975,1.66828,1.76081,"Otto Matic",9827,1992-09-23,2019-08-20
" 13597 (1994 PH18)",N,N,15.5,,,.1688537423785488,2.355551069242552,1.957807455837155,2.532092340671777,2.753294682647949,.947276,2.255,"Otto Matic",10163,1991-11-04,2019-09-01
" 13602 Pierreboulez (1994 PB36)",N,N,14.9,,,.08297051278467776,2.518186115934617,2.309250922608265,1.067080105508795,2.727121309260968,1.32477,2.44009,"Otto Matic",14092,1981-05-08,2019-12-07
" 13789 (1998 UZ28)",N,N,14.3,4.040,,.151094460751371,2.312381507587736,1.962993470647325,7.768397010972275,2.661769544528147,.969359,2.712,"Otto Matic",10254,1991-11-02,2019-11-29
" 13825 Booth (1999 VJ87)",N,N,14.3,4.083,,.1841964831852918,2.550229277939316,2.080486013626728,6.181089598065959,3.019972542251904,1.06845,2.13523,"Otto Matic",11262,1989-02-04,2019-12-06
" 14127 (1998 QA91)",N,N,12.9,6.076,,.1995124334537726,2.602345938741633,2.083145567814747,13.77893648266546,3.121546309668518,1.07913,2.283,"Otto Matic",13945,1981-09-28,2019-12-03
