full_name,neo,pha,H,diameter,rot_per,e,a,q,i,ad,moid,moid_jup,producer,data_arc,first_obs,last_obs
"       (2010 PJ13)",N,N,,2.190,,.1089485732801329,2.338005030118868,2.083282717765643,28.78590113201381,2.592727342472092,1.16774,2.75142,"Otto Matic",1,2010-08-02,2010-08-03
"       (2010 PQ17)",N,N,,2.337,,.2218262036887239,2.280208193646816,1.77439826643022,13.47978420840052,2.786018120863412,.794349,2.23225,"Otto Matic",2,2010-08-03,2010-08-05
"       (2010 PK40)",N,N,,2.429,,.1174230343933122,2.321282732650245,2.048710670497653,10.20735984816485,2.593854794802836,1.08427,2.6439,"Otto Matic",1,2010-08-06,2010-08-07
"       (2010 PC79)",N,N,16.8,,,.2596367984623578,2.666331510263102,1.974053733299087,13.30148482079363,3.358609287227117,.970428,2.08814,"Otto Matic",3433,2010-08-09,2020-01-02
"       (2010 PV81)",N,N,18.093,,,.1845467741851537,2.225311683575982,1.814637590815501,6.090100324064576,2.635985776336463,.807057,2.50955,"Otto Matic",3109,2010-08-05,2019-02-08
"       (2010 RV8)",N,N,17.9,,,.09616912369126392,1.933844128340586,1.747868033162576,18.03031806639671,2.119820223518596,.836886,3.08137,"Otto Matic",2373,2010-09-02,2017-03-02
"       (2010 RX14)",N,N,17.5,,,.1655187270110085,2.696101152181831,2.249845921579781,11.60365127183201,3.142356382783881,1.27791,2.27244,"Otto Matic",3376,2010-09-02,2019-11-30
"       (2010 RC44)",N,N,19.462,,,.215187722288329,2.197875947149715,1.724920028210264,5.844305046514187,2.670831866089166,.722705,2.78176,"Otto Matic",39,2010-09-04,2010-10-13
"       (2010 RH80)",N,N,15.699,,,.07640844691704698,3.290658372974234,3.039224277360696,32.71040082327577,3.542092468587771,2.03257,1.90071,"Otto Matic",3,2010-09-10,2010-09-13
"       (2010 RG86)",N,N,16.4,,,.1786092735066086,3.187431069175244,2.618126321557461,5.321677938384155,3.756735816793026,1.62169,1.70505,"Otto Matic",2226,2010-09-02,2016-10-06
"       (2010 RA107)",N,N,17.4,,,.1796295501050133,2.718137541837128,2.229879718073378,4.359520267302695,3.206395365600878,1.22557,2.24578,"Otto Matic",6667,2001-09-19,2019-12-21
"       (2010 RL145)",N,N,19.4,,,.2918292641107156,2.564305839212023,1.815966353199967,3.154456451382685,3.312645325224078,.817362,2.14697,"Otto Matic",2890,2010-09-14,2018-08-13
"       (2010 RE148)",N,N,16.4,,,.143283762979908,3.196892772634918,2.738829946328516,17.03695390366842,3.65495559894132,1.79978,1.94496,"Otto Matic",2207,2010-09-15,2016-09-30
"       (2010 RF150)",N,N,16.6,,,.1447763560644126,3.062047848176207,2.61873571862238,15.35558116944899,3.505359977730034,1.67845,2.00168,"Otto Matic",1791,2010-09-15,2015-08-11
"       (2010 RY152)",N,N,18.6,,,.2041184888093411,2.271628721131552,1.807947299438284,2.302832009901898,2.735310142824821,.792018,2.50291,"Otto Matic",5708,2002-02-06,2017-09-23
"       (2010 RV175)",N,N,17.3,,,.1244285949262674,2.77620336185813,2.430764278312543,3.610229156084428,3.121642445403717,1.42307,2.2332,"Otto Matic",3303,2010-09-10,2019-09-26
"       (2010 RV192)",N,N,17.0,,,.1387739833592134,2.781568979333265,2.395559572082766,9.822735257239909,3.167578386583763,1.41063,2.342,"Otto Matic",3275,2010-09-05,2019-08-24
"       (2010 RV198)",N,N,19.1,,,.3042222463895789,2.307402245263023,1.605439150884748,2.506509127903994,3.009365339641298,.601999,2.43352,"Otto Matic",2631,2010-09-11,2017-11-24
"       (2010 SA10)",N,N,18.3,,,.2244402392087214,2.189480126949519,1.698072683514227,4.969569962086146,2.68088757038481,.690632,2.52253,"Otto Matic",1080,2010-09-17,2013-09-01
"       (2010 SM28)",N,N,17.2,,,.05969722206487486,2.860968608899412,2.690176730533308,1.377171424259741,3.031760487265516,1.6762,2.15,"Otto Matic",5080,2005-09-30,2019-08-28
"       (2010 SK47)",N,N,17.0,,,.2090400487827225,3.234808169897706,2.55860371225954,16.39974354775801,3.911012627535873,1.61538,1.71917,"Otto Matic",2719,2010-09-29,2018-03-10
"       (2010 SE48)",N,N,18.4,,,.1414945847314056,2.441669748003061,2.096186700958133,2.63198153725954,2.78715279504799,1.09639,2.67254,"Otto Matic",2986,2010-09-30,2018-12-03
"       (2010 SV50)",N,N,18.2,,,.1958512078462613,2.713563821779507,2.182109069716074,27.00427579449752,3.245018573842941,1.18887,2.24512,"Otto Matic",3332,2010-09-18,2019-11-02
"       (2010 SA51)",N,N,16.0,,,.1602732723334432,3.935786738069733,3.304985318352728,4.999798846213077,4.566588157786738,2.30202,.912937,"Otto Matic",3017,2010-09-30,2019-01-03
"       (2010 TH5)",N,N,16.8,,,.2066637003304895,2.678125699495992,2.12465433248797,14.44137839383798,3.231597066504015,1.12565,2.2315,"Otto Matic",4310,2008-03-01,2019-12-19
"       (2010 TQ5)",N,N,17.4,,,.1712697479908967,2.604280196695749,2.158245783709985,13.80756505015868,3.050314609681513,1.1752,2.4323,"Otto Matic",4773,2006-11-02,2019-11-27
"       (2010 TP7)",N,N,19.4,,,.2508045871340175,2.481749660944246,1.859315461861137,.4194617534435743,3.104183860027355,.852784,2.33004,"Otto Matic",1465,2010-10-01,2014-10-05
"       (2010 TV14)",N,N,17.8,,,.07804850385087252,2.605435127523363,2.402084813939657,3.123134095892565,2.808785441107069,1.39781,2.54122,"Otto Matic",4314,2006-10-21,2018-08-13
